id,location,county,state,name,url,timezone,starttime,category,subcategory,free?,,,,
39630609219,Clarksville,Montgomery,TN,Brunch with Santa,https://www.eventbrite.com/e/brunch-with-santa-tickets-39630609219?aff=ebapi,America/Chicago,2017-12-10T16:00:00Z,116,16006,FALSE,,,,
34835559095,Clarksville,Montgomery,TN,Childbirth Education: Breastfeeding Class (Clarksville),https://www.eventbrite.com/e/childbirth-education-breastfeeding-class-clarksville-tickets-34835559095?aff=ebapi,America/Chicago,2017-12-06T01:00:00Z,107,,TRUE,,,,
39479569455,Clarksville,Montgomery,TN,Mental Health Academy: Ethics - CLARKSVILLE - Workplace Wellness,https://www.eventbrite.com/e/mental-health-academy-ethics-clarksville-workplace-wellness-registration-39479569455?aff=ebapi,America/Chicago,2017-12-15T15:00:00Z,107,7002,FALSE,,,,
34836985361,Clarksville,Montgomery,TN,Childbirth Education: Sibling Class (Clarksville),https://www.eventbrite.com/e/childbirth-education-sibling-class-clarksville-tickets-34836985361?aff=ebapi,America/Chicago,2017-12-30T18:00:00Z,107,,TRUE,,,,
39708136104,Clarksville,Montgomery,TN,Nut Crackers | Comedy Jam,https://www.eventbrite.com/e/nut-crackers-comedy-jam-tickets-39708136104?aff=ebapi,America/Chicago,2017-12-17T01:00:00Z,104,4007,FALSE,,,,
35005442220,Clarksville,Montgomery,TN,Weight Loss Surgery: What Do You Have to Lose? (Clarksville),https://www.eventbrite.com/e/weight-loss-surgery-what-do-you-have-to-lose-clarksville-tickets-35005442220?aff=ebapi,America/Chicago,2017-12-19T00:00:00Z,107,7003,TRUE,,,,
40801721046,Clarksville,Montgomery,TN,Holiday Hoe Down ,https://www.eventbrite.com/e/holiday-hoe-down-tickets-40801721046?aff=ebapi,America/Chicago,2017-12-22T02:00:00Z,103,3008,FALSE,,,,
22537736978,Clarksville,Montgomery,TN,Indoor Yard Sale,https://www.eventbrite.com/e/indoor-yard-sale-tickets-22537736978?aff=ebapi,America/Chicago,2017-12-01T14:00:00Z,111,11999,TRUE,,,,
35010648793,Clarksville,Montgomery,TN,Grief Support Group (Clarksville),https://www.eventbrite.com/e/grief-support-group-clarksville-tickets-35010648793?aff=ebapi,America/Chicago,2017-12-06T00:00:00Z,107,,TRUE,,,,
35010790216,Clarksville,Montgomery,TN,Grief Support Group (Clarksville),https://www.eventbrite.com/e/grief-support-group-clarksville-tickets-35010790216?aff=ebapi,America/Chicago,2017-12-07T19:00:00Z,107,,TRUE,,,,
35011829324,Clarksville,Montgomery,TN,Diabetes Support Group (Clarksville),https://www.eventbrite.com/e/diabetes-support-group-clarksville-tickets-35011829324?aff=ebapi,America/Chicago,2017-12-19T23:00:00Z,107,7003,TRUE,,,,
39526385483,Clarksville,Montgomery,TN,Vision Board Workshop,https://www.eventbrite.com/e/vision-board-workshop-tickets-39526385483?aff=ebapi,America/Chicago,2017-12-02T17:00:00Z,107,7999,FALSE,,,,
39579046995,Clarksville,Montgomery,TN,Intimate Vibes Open Mic Infusion Wednesday Nights,https://www.eventbrite.com/e/intimate-vibes-open-mic-infusion-wednesday-nights-tickets-39579046995?aff=ebapi,America/Chicago,2017-12-07T01:00:00Z,105,5008,FALSE,,,,
40854392588,Clarksville,Montgomery,TN,An Air Assault Holiday Concert featuring The Sky Soldiers of Swing,https://www.eventbrite.com/e/an-air-assault-holiday-concert-featuring-the-sky-soldiers-of-swing-tickets-40854392588?aff=ebapi,America/Chicago,2017-12-13T00:00:00Z,103,,TRUE,,,,
40907110268,Clarksville,Montgomery,TN,New Years Dinner and Dance with Live Music,https://www.eventbrite.com/e/new-years-dinner-and-dance-with-live-music-tickets-40907110268?aff=ebapi,America/Chicago,2018-01-01T02:00:00Z,116,16009,FALSE,,,,
29426855517,Brownsville,Cameron,TX,"Civil Air Patrol Anniversary 5k Fun Run - Dec 10, 2017",https://www.eventbrite.com/e/civil-air-patrol-anniversary-5k-fun-run-dec-10-2017-tickets-29426855517?aff=ebapi,America/Chicago,2017-12-10T13:00:00Z,111,,FALSE,,,,
39623876080,Brownsville,Cameron,TX,EBT CrossFit 5th Annual Winter Wodderland,https://www.eventbrite.com/e/ebt-crossfit-5th-annual-winter-wodderland-tickets-39623876080?aff=ebapi,America/Chicago,2018-01-13T14:00:00Z,108,8020,FALSE,,,,
38028877396,Brownsville,Cameron,TX,Taste of La Frontera 2018,https://www.eventbrite.com/e/taste-of-la-frontera-2018-tickets-38028877396?aff=ebapi,America/Chicago,2018-01-16T00:00:00Z,110,10003,FALSE,,,,
39175335483,Brownsville,Cameron,TX,"HUNKS The Show Male Revue | Brownsville, TX",https://www.eventbrite.com/e/hunks-the-show-male-revue-brownsville-tx-tickets-39175335483?aff=ebapi,America/Chicago,2017-12-09T05:30:00Z,105,5004,FALSE,,,,
39468614689,Brownsville,Cameron,TX,Dropthebeat.TV music festival w/ Lil Flip ,https://www.eventbrite.com/e/dropthebeattv-music-festival-w-lil-flip-tickets-39468614689?aff=ebapi,America/Chicago,2017-12-10T01:00:00Z,103,3008,FALSE,,,,
40000705186,Brownsville,Cameron,TX,South Texas Academy for Medical Professions 1st Annual 5K Run,https://www.eventbrite.com/e/south-texas-academy-for-medical-professions-1st-annual-5k-run-tickets-40000705186?aff=ebapi,America/Chicago,2017-12-02T13:30:00Z,107,,FALSE,,,,
40098278029,Brownsville,Cameron,TX,"Tropical Smoothie Café to Host Grand Opening Celebration for New Location in Brownsville- Boca Chica!	",https://www.eventbrite.com/e/tropical-smoothie-cafe-to-host-grand-opening-celebration-for-new-location-in-brownsville-boca-chica-tickets-40098278029?aff=ebapi,America/Chicago,2017-12-06T13:00:00Z,110,,TRUE,,,,
40773083390,Brownsville,Cameron,TX,SculpSure Lunch & Learn - Spa-La-La-La-La Kick Off,https://www.eventbrite.com/e/sculpsure-lunch-learn-spa-la-la-la-la-kick-off-tickets-40773083390?aff=ebapi,America/Chicago,2017-12-07T18:00:00Z,106,6004,TRUE,,,,
36557890635,Stockton,San Joaquin,CA,Christmas Party,https://www.eventbrite.com/e/christmas-party-tickets-36557890635?aff=ebapi,America/Los_Angeles,2017-12-16T02:00:00Z,116,16006,FALSE,,,,
37699610550,Stockton,San Joaquin,CA, Delta College Culinary Arts Winter Feast- Italian Study Abroad Scholarship Fundraiser,https://www.eventbrite.com/e/delta-college-culinary-arts-winter-feast-italian-study-abroad-scholarship-fundraiser-tickets-37699610550?aff=ebapi,America/Los_Angeles,2017-12-07T01:30:00Z,110,10003,FALSE,,,,
38564154424,Stockton,San Joaquin,CA,Blackwing Foundation Arts Community Concert,https://www.eventbrite.com/e/blackwing-foundation-arts-community-concert-tickets-38564154424?aff=ebapi,America/Los_Angeles,2017-12-15T04:00:00Z,103,,TRUE,,,,
39906462303,Stockton,San Joaquin,CA,ABOVE ALL BARBERING SEMINAR,https://www.eventbrite.com/e/above-all-barbering-seminar-tickets-39906462303?aff=ebapi,America/Los_Angeles,2017-12-03T19:00:00Z,106,,FALSE,,,,
39559141457,Stockton,San Joaquin,CA,Annual Ghirardelli Chocolate Warehouse Sale,https://www.eventbrite.com/e/annual-ghirardelli-chocolate-warehouse-sale-tickets-39559141457?aff=ebapi,America/Los_Angeles,2017-12-09T17:30:00Z,116,16006,TRUE,,,,
40852017484,Stockton,San Joaquin,CA,PAF Hospitality 12/16,https://www.eventbrite.com/e/paf-hospitality-1216-tickets-40852017484?aff=ebapi,America/Los_Angeles,2017-12-17T01:00:00Z,108,8006,TRUE,,,,
37230660909,Stockton,San Joaquin,CA,"""209BEATDOWN IV"" EXTREME CAGE FIGHTING",https://www.eventbrite.com/e/209beatdown-iv-extreme-cage-fighting-tickets-37230660909?aff=ebapi,America/Los_Angeles,2018-01-07T00:00:00Z,108,8016,FALSE,,,,
39362321764,Stockton,San Joaquin,CA,Stockton Alumnae Chapter's Holiday Paint Night Party,https://www.eventbrite.com/e/stockton-alumnae-chapters-holiday-paint-night-party-tickets-39362321764?aff=ebapi,America/Los_Angeles,2017-12-30T02:00:00Z,111,11008,FALSE,,,,
